score,listing_id,title,state,industry,asking_price,cash_flow_sde,gross_revenue,employees,location,flags,url
23,2482248,Property Cleaning & Maintenance Business,texas,cleaning,,316948,,,"Houston, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/property-cleaning-and-maintenance-business/2482248/
23,2431071,Disaster Restoration Service Company with State-of-the-Art Facilities,texas,cleaning,,274989,,,"San Antonio, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/disaster-restoration-service-company-with-state-of-the-art-facilities/2431071/
23,2423238,DFW Area 3-Unit Pink's Window Cleaning - Priced Way Less Than New!,texas,cleaning,,,,,"Southlake, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/dfw-area-3-unit-pinks-window-cleaning-priced-way-less-than-new/2423238/
23,2461063,Profitable Residential & Commercial Cleaning Business - 45% YOY Growth,texas,cleaning,,,,,"Tyler, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-residential-and-commercial-cleaning-business-45-yoy-growth/2461063/
23,2330852,Carpet Cleaning,texas,cleaning,,,,,"Humble, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/carpet-cleaning/2330852/
23,2442973,Premier Oriental Rug Cleaning & Artisan Restoration Shop,texas,cleaning,,64200,,,"Dallas County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/premier-oriental-rug-cleaning-and-artisan-restoration-shop/2442973/
23,2361272,"Booming Pool/Spa Business, B2B and B2C, residual income, growing",texas,cleaning,,,,,"Fort Worth, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/booming-pool-spa-business-b2b-and-b2c-residual-income-growing/2361272/
20,2494683,Profitable Turnkey Lawn Spraying Business.,oklahoma,service,,150000,,,"Moore, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-lawn-spraying-business/2494683/
20,2489602,"Profitable, Turnkey Home Services Franchise – Industry Leader",oklahoma,service,,237612,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-home-services-franchise-industry-leader/2489602/
20,2302724,"Absentee Owner, Multi City Mobile Detailing Company",oklahoma,service,,89147,,,"Oklahoma County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/absentee-owner-multi-city-mobile-detailing-company/2302724/
20,2411968,Absentee Owned Project Management Firm in OKC,oklahoma,building-and-construction,,2380918,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/absentee-owned-project-management-firm-in-okc/2411968/
20,2394146,Profitable Roofing Business for Sale – Turnkey Operation!,oklahoma,building-and-construction,,146556,,,"Tulsa County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-roofing-business-for-sale-turnkey-operation/2394146/
20,2479973,Income Producing. Flexible Operating Models. National Brand. Turnkey.,texas,service,,,,,"Frisco, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/income-producing-flexible-operating-models-national-brand-turnkey/2479973/
20,2444492,Profitable $2.5M Turnkey Epoxy Flooring Company — 12 Years Established,texas,building-and-construction,,441000,,,"Tomball, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-2-5m-turnkey-epoxy-flooring-company-12-years-established/2444492/
20,2431770,Radiant Barrier Manufacturing | Turnkey Energy Insulation,texas,building-and-construction,,265000,,,"Arlington, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/radiant-barrier-manufacturing-turnkey-energy-insulation/2431770/
15,2485700,Stable HVAC Company with Consistent Cash Flow,oklahoma,plumbing,,1420000,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/stable-hvac-company-with-consistent-cash-flow/2485700/
15,2483428,Commercial Plumbing Co w/ Strong Profit Margins,oklahoma,plumbing,,547373,,,"Tulsa County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-plumbing-co-w-strong-profit-margins/2483428/
15,2483667,North TX Plumbing Co – New Home Focus | Strong Builder Ties | w/RE,texas,plumbing,,685000,,,"Tarrant County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/north-tx-plumbing-co-new-home-focus-strong-builder-ties-w-re/2483667/
10,2367468,Home Improvement Siding Business in Oklahoma City,oklahoma,service,,254500,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/home-improvement-siding-business-in-oklahoma-city/2367468/
10,1953128,High Profit Window Cleaning Business for sale in OKC!,oklahoma,service,,,,,"Oklahoma City, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/high-profit-window-cleaning-business-for-sale-in-okc/1953128/
10,2128290,Property Management Business Opportunity,oklahoma,service,,,,,,no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/start-up-business/property-management-business-opportunity/2128290/
10,2457839,Existing Painting Business,oklahoma,service,,220000,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/existing-painting-business/2457839/
10,2404380,Welding Supply House,oklahoma,service,,588621,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/welding-supply-house/2404380/
10,2403459,"The UPS Store in NW OKC | $111,750 SDE | Seller Financing",oklahoma,service,,111750,,,"Warr Acres, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/the-ups-store-in-nw-okc-111-750-sde-seller-financing/2403459/
10,2398887,Submersible Solutions In Oil & Gas,oklahoma,service,,2722842,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/submersible-solutions-in-oil-and-gas/2398887/
10,2391931,Multi-Store Office Products Company,oklahoma,service,,479562,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/multi-store-office-products-company/2391931/
10,2388951,Nationwide Commercial Seating & Décor Install Co.,oklahoma,service,,674389,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/nationwide-commercial-seating-and-decor-install-co/2388951/
10,2377925,Fence Builder-Top of the Line,oklahoma,service,,218650,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/fence-builder-top-of-the-line/2377925/
10,2338421,"HDPE Pipe, Fittings, Fusion, Eq. Sales/Rentals",oklahoma,service,,506881,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hdpe-pipe-fittings-fusion-eq-sales-rentals/2338421/
10,2488469,Health and Compliance Cleaning Company,oklahoma,service,,407168,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/health-and-compliance-cleaning-company/2488469/
10,2483823,Specialized Oil & Gas Service Provider,oklahoma,service,,1566990,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/specialized-oil-and-gas-service-provider/2483823/
10,2486072,"B2B Print, Promo & Marketing Business",oklahoma,service,,,,,"Oklahoma County, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/b2b-print-promo-and-marketing-business/2486072/
10,2430731,Own A Successful Yard Card Business! A Fun Way To Make Extra Money!,oklahoma,service,,,,,"Oklahoma City, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/own-a-successful-yard-card-business-a-fun-way-to-make-extra-money/2430731/
10,2482242,Property Recovery & Cleaning Services Opportunity,oklahoma,service,,174331,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/property-recovery-and-cleaning-services-opportunity/2482242/
10,2297746,Fully Integrated Industrial Engine Remanufacturing / Rebuild Facility,oklahoma,service,,,,,"Oklahoma County, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/fully-integrated-industrial-engine-remanufacturing-rebuild-facility/2297746/
10,2479897,Operating Unattended Coin Laundromat Oklahoma City,oklahoma,service,,,,,"Del City, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/operating-unattended-coin-laundromat-oklahoma-city/2479897/
10,2472611,Professional Rental Oversight Operation,oklahoma,service,,109166,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/professional-rental-oversight-operation/2472611/
10,2457991,Dependable Seasonal Business with Strong Retention,oklahoma,service,,209718,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/dependable-seasonal-business-with-strong-retention/2457991/
10,2352143,High Volume Catering Business,oklahoma,service,,240000,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/high-volume-catering-business/2352143/
10,2436593,"Crucial Restoration: Passive, Windows/Siding/Gutters/Roofing!",oklahoma,service,,,,,"Oklahoma City, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/crucial-restoration-passive-windows-siding-gutters-roofing/2436593/
10,2406383,Aircraft Engine Overhaul & Repair Company,oklahoma,service,,,,,,no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/aircraft-engine-overhaul-and-repair-company/2406383/
10,2191547,"Growing, full service Moving Company!",oklahoma,service,,170000,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/growing-full-service-moving-company/2191547/
10,2428095,"Well established electrical company, in business since 2003",oklahoma,building-and-construction,,,,,"Vinita, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/well-established-electrical-company-in-business-since-2003/2428095/
10,2457007,"Cash-Flowing Painting Business w Strong Local Reputation – Tulsa, OK",oklahoma,building-and-construction,,221000,,," Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/cash-flowing-painting-business-w-strong-local-reputation-tulsa-ok/2457007/
10,2384397,Construction Company - Residential and Commercial,oklahoma,building-and-construction,,786877,,,"Osage County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/construction-company-residential-and-commercial/2384397/
10,2386637,Custom Cabinet Shop,oklahoma,building-and-construction,,200000,,,"Garfield County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/custom-cabinet-shop/2386637/
10,2462459,35 Year Old Commercial Construction Company,oklahoma,building-and-construction,,343333,,,"Tulsa County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/35-year-old-commercial-construction-company/2462459/
10,2461616,Established Water Well Drilling Company For Sale in Poteau Oklahoma,oklahoma,building-and-construction,,317610,,,"Poteau, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-water-well-drilling-company-for-sale-in-poteau-oklahoma/2461616/
10,2494721,Lucrative Painting Services - Known For Top Quality,texas,service,,294000,,,"Houston, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/lucrative-painting-services-known-for-top-quality/2494721/
10,2426822,Promotional Products & Apparel Business,texas,service,,60000,,,"Harris County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/promotional-products-and-apparel-business/2426822/
10,2416375,Fire Sale – Branded Apparel & Promotional Products Business,texas,service,,,,,"Harris County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/fire-sale-branded-apparel-and-promotional-products-business/2416375/
10,2400570,Custom Branding & Promotional Products Business,texas,service,,50000,,,"Tarrant County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/custom-branding-and-promotional-products-business/2400570/
10,2489387,Home Improvement Siding Business for Sale in Texas,texas,service,,277400,,,"Corpus Christi, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/home-improvement-siding-business-for-sale-in-texas/2489387/
10,2489211,$4.98M Rev. Premier Drilling & MWD/LWD Solutions,texas,service,,,,,"Montgomery County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/4-98m-rev-premier-drilling-and-mwd-lwd-solutions/2489211/
10,2488928,A stunning state-of-art laundromat with a shopping center for sale,texas,service,,430000,,,"Garland, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/a-stunning-state-of-art-laundromat-with-a-shopping-center-for-sale/2488928/
10,2488840,Junk Removal Business,texas,service,,65000,,,"Austin, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/junk-removal-business/2488840/
10,2466171,Profitable Home Staging Business with Strong Brand & Growth Potential,texas,service,,100000,,,"Austin, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-home-staging-business-with-strong-brand-and-growth-potential/2466171/
10,2484967,Professional Services Business for sale,texas,service,,750583,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/professional-services-business-for-sale/2484967/
10,2334481,"San Antonio, TX Coaching Franchise - Now Available",texas,service,,,,,"San Antonio, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/san-antonio-tx-coaching-franchise-now-available/2334481/
10,2404116,#1 Pool Supply Store and Services,texas,service,,181903,,,"Harris County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/1-pool-supply-store-and-services/2404116/
10,2482806,Restoration and Construction - Water Damage Cleanup,texas,service,,80000,,,"Joshua, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/restoration-and-construction-water-damage-cleanup/2482806/
10,2460044,"Successful, owner/operator franchise territory for sale",texas,service,,,,,"Collin County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/successful-owner-operator-franchise-territory-for-sale/2460044/
10,2424270,Pool Cleaning & Repair Business for Sale.,texas,service,,,,,"Grapevine, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/pool-cleaning-and-repair-business-for-sale/2424270/
10,1979040,#1 Most Profitable Window Cleaning Business in Houston!,texas,service,,75000,,,"Houston, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/1-most-profitable-window-cleaning-business-in-houston/1979040/
10,2467164,Healthcare Marketing Agency for Sale,texas,service,,355000,,,"Dallas, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/healthcare-marketing-agency-for-sale/2467164/
